iter	Passed	Remaining
433	1902	2481
434	1905	2474
435	1908	2468
436	1912	2463
437	1914	2456
438	1916	2449
439	1918	2441
440	1920	2434
441	1925	2430
442	1928	2424
443	1930	2417
444	1933	2410
445	1935	2404
446	1940	2401
447	1943	2395
448	1945	2388
449	1948	2381
450	1951	2375
451	1954	2369
452	1960	2367
453	1963	2361
454	1966	2355
455	1969	2349
456	1973	2344
457	1975	2338
458	1979	2332
459	1985	2331
460	1988	2325
461	1991	2319
462	1994	2313
463	1999	2310
464	2002	2304
465	2005	2297
466	2007	2290
467	2009	2284
468	2011	2277
469	2016	2273
470	2021	2270
471	2028	2269
472	2031	2263
473	2035	2258
474	2038	2252
475	2046	2253
476	2050	2248
477	2054	2243
478	2057	2238
479	2060	2232
480	2065	2228
481	2071	2225
482	2074	2221
483	2078	2215
484	2083	2212
485	2092	2213
486	2096	2208
487	2099	2203
488	2103	2197
489	2111	2197
490	2113	2190
491	2120	2189
492	2123	2183
493	2126	2177
494	2129	2172
495	2131	2165
496	2134	2160
497	2139	2156
498	2143	2152
499	2149	2149
500	2152	2143
501	2154	2137
502	2157	2132
503	2160	2125
504	2170	2127
505	2174	2123
506	2178	2118
507	2181	2113
508	2184	2107
509	2186	2100
510	2189	2095
511	2192	2089
512	2195	2083
513	2200	2080
514	2203	2074
515	2205	2068
516	2209	2064
517	2212	2058
518	2216	2054
519	2219	2048
520	2221	2042
521	2226	2038
522	2229	2033
523	2232	2027
524	2237	2023
525	2240	2019
526	2243	2013
527	2246	2008
528	2250	2003
529	2254	1999
530	2257	1994
531	2260	1988
532	2263	1983
533	2267	1978
534	2269	1972
535	2271	1966
536	2273	1960
537	2275	1954
538	2278	1948
539	2286	1947
540	2290	1943
541	2293	1937
542	2298	1934
543	2300	1928
544	2303	1923
545	2306	1917
546	2308	1911
547	2315	1909
548	2317	1904
549	2320	1898
550	2322	1892
551	2325	1887
552	2329	1883
553	2332	1877
554	2334	1871
555	2336	1865
556	2338	1860
557	2345	1857
558	2347	1851
559	2349	1846
560	2352	1840
561	2354	1835
562	2366	1837
563	2369	1831
564	2378	1831
565	2381	1826
566	2383	1820
567	2393	1820
568	2396	1815
569	2398	1809
570	2401	1803
571	2409	1802
572	2412	1797
573	2414	1791
574	2418	1787
575	2421	1782
576	2423	1776
577	2426	1771
578	2429	1766
579	2436	1764
580	2438	1758
581	2442	1753
582	2444	1748
583	2455	1748
584	2457	1743
585	2460	1737
586	2463	1733
587	2469	1730
588	2471	1724
589	2474	1719
590	2479	1716
591	2482	1710
592	2489	1708
593	2491	1702
594	2494	1697
595	2496	1692
596	2499	1687
597	2503	1682
598	2505	1677
599	2509	1673
600	2514	1669
601	2517	1664
602	2520	1659
603	2523	1654
604	2527	1650
605	2530	1645
606	2532	1639
607	2535	1634
608	2538	1629
609	2543	1626
610	2545	1620
611	2555	1620
612	2558	1615
613	2560	1609
614	2562	1604
615	2565	1599
616	2567	1593
617	2572	1590
618	2575	1585
619	2578	1580
620	2581	1575
621	2586	1571
622	2589	1567
623	2592	1562
624	2595	1557
625	2597	1552
626	2601	1547
627	2603	1542
628	2606	1537
629	2608	1532
630	2610	1526
631	2613	1521
632	2616	1517
633	2619	1512
634	2621	1506
635	2623	1501
636	2629	1498
637	2632	1493
638	2634	1488
639	2637	1483
640	2640	1478
641	2646	1476
642	2649	1471
643	2651	1465
644	2654	1460
645	2659	1457
646	2662	1452
647	2665	1447
648	2667	1442
649	2669	1437
650	2676	1434
651	2678	1429
652	2680	1424
653	2683	1419
654	2685	1414
655	2690	1410
656	2692	1405
657	2694	1400
658	2696	1395
659	2699	1390
660	2706	1387
661	2708	1383
662	2711	1378
663	2714	1373
664	2716	1368
665	2721	1364
666	2723	1359
667	2725	1354
668	2729	1350
669	2732	1345
670	2737	1342
671	2739	1337
672	2741	1332
673	2744	1327
674	2746	1322
675	2749	1318
676	2753	1313
677	2756	1308
678	2759	1304
679	2764	1301
680	2767	1296
681	2769	1291
682	2772	1286
683	2775	1282
684	2779	1278
685	2781	1273
686	2784	1268
687	2786	1263
688	2789	1258
689	2796	1256
690	2798	1251
691	2800	1246
692	2802	1241
693	2805	1236
694	2807	1232
695	2810	1227
696	2813	1222
697	2815	1218
698	2817	1213
699	2820	1208
700	2826	1205
701	2829	1201
702	2831	1196
703	2833	1191
704	2836	1186
705	2839	1182
706	2841	1177
707	2843	1172
708	2846	1168
709	2848	1163
710	2855	1160
711	2858	1156
712	2862	1152
713	2864	1147
714	2869	1143
715	2871	1139
716	2874	1134
717	2876	1129
718	2878	1125
719	2882	1121
720	2886	1116
721	2888	1112
722	2890	1107
723	2892	1102
724	2895	1098
725	2899	1094
726	2902	1089
727	2904	1085
728	2907	1080
729	2912	1077
730	2915	1072
731	2918	1068
732	2920	1063
733	2922	1059
734	2928	1055
735	2931	1051
736	2933	1046
737	2937	1042
738	2941	1038
739	2944	1034
740	2946	1029
741	2948	1025
742	2950	1020
743	2953	1016
744	2958	1012
745	2960	1008
746	2963	1003
747	2965	999
748	2969	995
749	2973	991
750	2975	986
751	2978	982
752	2980	977
753	2985	973
754	2988	969
755	2992	965
756	2995	961
757	3000	958
758	3003	953
759	3005	949
760	3008	944
761	3010	940
762	3015	936
763	3017	932
764	3019	927
765	3021	923
766	3023	918
767	3026	914
768	3031	910
769	3033	906
770	3036	901
771	3038	897
772	3040	892
773	3044	889
774	3046	884
775	3049	880
776	3051	875
777	3053	871
778	3056	867
779	3059	863
780	3062	858
781	3064	854
782	3066	849
783	3068	845
784	3071	841
785	3075	837
786	3077	832
787	3079	828
788	3081	824
789	3083	819
790	3088	815
791	3090	811
792	3093	807
793	3095	803
794	3097	798
795	3099	794
796	3103	790
797	3105	786
798	3107	781
799	3109	777
800	3111	773
801	3114	768
802	3119	765
803	3121	760
804	3123	756
805	3124	752
806	3127	747
807	3129	743
808	3133	739
809	3135	735
810	3138	731
811	3141	727
812	3143	723
813	3148	719
814	3151	715
815	3153	711
816	3155	706
817	3157	702
818	3159	698
819	3164	694
820	3166	690
821	3168	686
822	3171	681
823	3173	677
824	3177	674
825	3181	670
826	3183	665
827	3185	661
828	3187	657
829	3189	653
830	3194	649
831	3196	645
832	3198	641
833	3200	637
834	3202	632
835	3206	629
836	3211	625
837	3213	621
838	3215	617
839	3217	612
840	3219	608
841	3223	604
842	3225	600
843	3227	596
844	3229	592
845	3231	588
846	3234	584
847	3241	581
848	3243	576
849	3245	572
850	3247	568
851	3249	564
852	3253	560
853	3255	556
854	3258	552
855	3260	548
856	3264	544
857	3270	541
858	3272	537
859	3274	533
860	3276	529
861	3279	524
862	3281	521
863	3284	517
864	3286	512
865	3288	508
866	3290	504
867	3292	500
868	3295	496
869	3300	493
870	3303	489
871	3305	485
872	3307	481
873	3309	477
874	3314	473
875	3316	469
876	3318	465
877	3321	461
878	3323	457
879	3328	453
880	3330	449
881	3332	445
882	3335	441
883	3337	437
884	3339	433
885	3344	430
886	3353	427
887	3361	424
888	3367	420
889	3371	416
890	3377	413
891	3382	409
892	3385	405
893	3393	402
894	3395	398
895	3398	394
896	3405	391
897	3407	387
898	3410	383
899	3412	379
900	3416	375
901	3422	371
902	3425	367
903	3427	363
904	3430	360
905	3437	356
906	3439	352
907	3441	348
908	3445	344
909	3456	341
910	3458	337
911	3465	334
912	3468	330
913	3471	326
914	3475	322
915	3482	319
916	3488	315
917	3492	312
918	3497	308
919	3500	304
920	3504	300
921	3507	296
922	3515	293
923	3518	289
924	3526	285
925	3533	282
926	3537	278
927	3550	275
928	3553	271
929	3559	267
930	3564	264
931	3571	260
932	3579	257
933	3584	253
934	3586	249
935	3588	245
936	3591	241
937	3594	237
938	3597	233
939	3606	230
940	3611	226
941	3615	222
942	3627	219
943	3629	215
944	3637	211
945	3640	207
946	3643	203
947	3646	200
948	3656	196
949	3661	192
950	3672	189
951	3674	185
952	3680	181
953	3684	177
954	3687	173
955	3691	169
956	3693	165
957	3698	162
958	3700	158
959	3703	154
960	3715	150
961	3718	146
962	3720	142
963	3723	139
964	3727	135
965	3731	131
966	3735	127
967	3744	123
968	3746	119
969	3748	115
970	3751	112
971	3754	108
972	3759	104
973	3762	100
974	3765	96
975	3775	92
976	3777	88
977	3780	85
978	3782	81
979	3784	77
980	3789	73
981	3792	69
982	3795	65
983	3799	61
984	3803	57
985	3807	54
986	3811	50
987	3815	46
988	3821	42
989	3825	38
990	3836	34
991	3839	30
992	3854	27
993	3869	23
994	3872	19
995	3879	15
996	3886	11
997	3888	7
998	3900	3
999	3903	0
